"","neigh","price"
"1271","Torino -  9 - Cit Turin, San Donato, Campidoglio",55
"1281","Torino -  9 - Cit Turin, San Donato, Campidoglio",440
"1291","Torino -  9 - Cit Turin, San Donato, Campidoglio",79
"1301","Torino -  9 - Cit Turin, San Donato, Campidoglio",640
"1311","Torino -  9 - Cit Turin, San Donato, Campidoglio",74
"1321","Torino -  9 - Cit Turin, San Donato, Campidoglio",478
"1331","Torino -  9 - Cit Turin, San Donato, Campidoglio",18
"1341","Torino -  9 - Cit Turin, San Donato, Campidoglio",220
"1351","Torino -  9 - Cit Turin, San Donato, Campidoglio",540
"1361","Torino -  9 - Cit Turin, San Donato, Campidoglio",330
"1371","Torino - 10 - Valdocco, Aurora",100
"1381","Torino - 10 - Valdocco, Aurora",319
"1391","Torino - 10 - Valdocco, Aurora",105
"1401","Torino - 10 - Valdocco, Aurora",125
"1411","Torino - 10 - Valdocco, Aurora",47
"1421","Torino - 10 - Valdocco, Aurora",64
"1431","Torino - 10 - Valdocco, Aurora",65
"1441","Torino - 10 - Valdocco, Aurora",25
"1451","Torino - 10 - Valdocco, Aurora",33
"1461","Torino - 10 - Valdocco, Aurora",295
"1471","Torino - 10 - Valdocco, Aurora",139
"1481","Torino - 10 - Valdocco, Aurora",89
"1491","Torino - 10 - Valdocco, Aurora",34
"1501","Torino - 10 - Valdocco, Aurora",79.5
"1511","Torino - 10 - Valdocco, Aurora",145
"1521","Torino - 11 - Vanchiglia, Regio Parco",690
"1531","Torino - 11 - Vanchiglia, Regio Parco",180
"1541","Torino - 11 - Vanchiglia, Regio Parco",89
"1551","Torino - 11 - Vanchiglia, Regio Parco",113
"1561","Torino - 11 - Vanchiglia, Regio Parco",165
"1571","Torino - 11 - Vanchiglia, Regio Parco",139
"1581","Torino - 11 - Vanchiglia, Regio Parco",318
"1591","Torino - 11 - Vanchiglia, Regio Parco",359
"1601","Torino - 11 - Vanchiglia, Regio Parco",318
"1611","Torino - 11 - Vanchiglia, Regio Parco",359
"1621","Torino - 11 - Vanchiglia, Regio Parco",159
"1631","Torino - 11 - Vanchiglia, Regio Parco",129
"1641","Torino - 11 - Vanchiglia, Regio Parco",49
"1651","Torino - 11 - Vanchiglia, Regio Parco",139
"1661","Torino - 11 - Vanchiglia, Regio Parco",189
"1671","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",69
"1681","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",78
"1691","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",79
"1701","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",39.5
"1711","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",79.9
"1721","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",49
"1731","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",119
"1741","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",197
"1751","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",49
"1761","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",245.25
"1771","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",48
"1781","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",79.5
