,city,Areas,neighborhood,estateprice
192,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",185
193,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",255
194,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",318
195,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",310
196,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",248
197,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",275
198,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",175
199,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",290
200,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",238
201,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",290
202,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",283.5
203,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",295
204,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",210
205,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",240
206,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",750
207,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",206
208,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",210
209,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",140
210,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",154
211,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",318
212,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",269
213,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",170
214,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",240
215,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",308
216,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",240
217,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",215
218,F,Rifredi,"Firenze -  3 - Il Lippi, Novoli, Barsanti",380
219,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",410
220,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",265
221,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",245
222,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",225
223,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",280
224,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",270
225,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",199
226,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",390
227,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",390
228,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",160
229,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",155
230,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",155
231,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",225
233,F,Rifredi,"Firenze -  1 - Castello, Careggi, Le Panche",165
234,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",249
235,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",340
236,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",255
237,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",249
238,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",240
239,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",145
240,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",390
241,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",275
242,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",75
243,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",75
244,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",200
245,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",160
246,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",165
247,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",360
248,F,Rifredi,"Firenze -  2 - Piana di Castello, Pistoiese",195
249,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",690
250,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",180
251,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",89
252,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",113
253,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",165
254,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",139
255,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",318
256,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",359
257,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",318
258,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",359
259,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",159
260,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",129
261,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",49
262,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",139
263,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 11 - Vanchiglia, Regio Parco",189
264,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",100
265,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",319
266,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",105
267,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",125
268,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",47
269,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",64
270,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",65
271,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",25
272,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",33
273,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",295
274,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",139
275,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",89
276,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",34
277,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",79.5
278,T,"Aurora, Vanchiglia - Sassi - Madonna del Pilone","Torino - 10 - Valdocco, Aurora",145
279,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",69
280,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",78
281,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",79
282,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",39.5
283,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",79.9
